Value,Factor1,Factor2
6.6,A1,B1
2.7,A1,B1
6,A1,B1
4,A1,B1
6.2,A1,B1
5,A1,B1
3,A1,B2
3.2,A1,B2
2.1,A1,B2
4.1,A1,B2
5.9,A1,B2
2.5,A1,B2
5.7,A1,B3
4.4,A1,B3
3.2,A1,B3
3.2,A1,B3
5.3,A1,B3
9.7,A1,B3
7,A1,B4
8.9,A1,B4
7.3,A1,B4
9,A1,B4
8.6,A1,B4
11.3,A1,B4
4.5,A2,B1
2.2,A2,B1
5.5,A2,B1
2.7,A2,B1
4.8,A2,B1
5.8,A2,B1
3,A2,B2
1.5,A2,B2
2.5,A2,B2
2.6,A2,B2
0.4,A2,B2
3.5,A2,B2
8.9,A2,B3
7.7,A2,B3
7,A2,B3
7.3,A2,B3
8,A2,B3
2.2,A2,B3
12,A2,B4
9.7,A2,B4
8.5,A2,B4
10.8,A2,B4
7.9,A2,B4
7.3,A2,B4
2.3,A3,B1
0.9,A3,B1
5.6,A3,B1
4.9,A3,B1
2.2,A3,B1
3.4,A3,B1
1.3,A3,B2
3.3,A3,B2
0.5,A3,B2
1.1,A3,B2
1.7,A3,B2
0.1,A3,B2
2.6,A3,B3
9.9,A3,B3
11.5,A3,B3
10.5,A3,B3
3.4,A3,B3
6.7,A3,B3
8.3,A3,B4
8,A3,B4
10.4,A3,B4
9.7,A3,B4
10.6,A3,B4
7.4,A3,B4
