body_mass_g,species,sex
3750,Adelie,male
3800,Adelie,female
3250,Adelie,female
3450,Adelie,female
3650,Adelie,male
3625,Adelie,female
4675,Adelie,male
3200,Adelie,female
3800,Adelie,male
4400,Adelie,male
3700,Adelie,female
3450,Adelie,female
4500,Adelie,male
3325,Adelie,female
4200,Adelie,male
3400,Adelie,female
3600,Adelie,male
3800,Adelie,female
3950,Adelie,male
3800,Adelie,male
3800,Adelie,female
3550,Adelie,male
3200,Adelie,female
3150,Adelie,female
3950,Adelie,male
3250,Adelie,female
3900,Adelie,male
3300,Adelie,female
3900,Adelie,male
3325,Adelie,female
4150,Adelie,male
3950,Adelie,male
3550,Adelie,female
3300,Adelie,female
4650,Adelie,male
3150,Adelie,female
3900,Adelie,male
3100,Adelie,female
4400,Adelie,male
3000,Adelie,female
4600,Adelie,male
3425,Adelie,male
3450,Adelie,female
4150,Adelie,male
3500,Adelie,female
4300,Adelie,male
3450,Adelie,female
4050,Adelie,male
2900,Adelie,female
3700,Adelie,male
3550,Adelie,female
3800,Adelie,male
2850,Adelie,female
3750,Adelie,male
3150,Adelie,female
4400,Adelie,male
3600,Adelie,female
4050,Adelie,male
2850,Adelie,female
3950,Adelie,male
3350,Adelie,female
4100,Adelie,male
3050,Adelie,female
4450,Adelie,male
3600,Adelie,female
3900,Adelie,male
3550,Adelie,female
4150,Adelie,male
3700,Adelie,female
4250,Adelie,male
3700,Adelie,female
3900,Adelie,male
3550,Adelie,female
4000,Adelie,male
3200,Adelie,female
4700,Adelie,male
3800,Adelie,female
4200,Adelie,male
3350,Adelie,female
3550,Adelie,male
3800,Adelie,male
3500,Adelie,female
3950,Adelie,male
3600,Adelie,female
3550,Adelie,female
4300,Adelie,male
3400,Adelie,female
4450,Adelie,male
3300,Adelie,female
4300,Adelie,male
3700,Adelie,female
4350,Adelie,male
2900,Adelie,female
4100,Adelie,male
3725,Adelie,female
4725,Adelie,male
3075,Adelie,female
4250,Adelie,male
2925,Adelie,female
3550,Adelie,male
3750,Adelie,female
3900,Adelie,male
3175,Adelie,female
4775,Adelie,male
3825,Adelie,female
4600,Adelie,male
3200,Adelie,female
4275,Adelie,male
3900,Adelie,female
4075,Adelie,male
2900,Adelie,female
3775,Adelie,male
3350,Adelie,female
3325,Adelie,male
3150,Adelie,female
3500,Adelie,male
3450,Adelie,female
3875,Adelie,male
3050,Adelie,female
4000,Adelie,male
3275,Adelie,female
4300,Adelie,male
3050,Adelie,female
4000,Adelie,male
3325,Adelie,female
3500,Adelie,male
3500,Adelie,female
4475,Adelie,male
3425,Adelie,female
3900,Adelie,male
3175,Adelie,female
3975,Adelie,male
3400,Adelie,female
4250,Adelie,male
3400,Adelie,female
3475,Adelie,male
3050,Adelie,female
3725,Adelie,male
3000,Adelie,female
3650,Adelie,male
4250,Adelie,male
3475,Adelie,female
3450,Adelie,female
3750,Adelie,male
3700,Adelie,female
4000,Adelie,male
4500,Gentoo,female
5700,Gentoo,male
4450,Gentoo,female
5700,Gentoo,male
5400,Gentoo,male
4550,Gentoo,female
4800,Gentoo,female
5200,Gentoo,male
4400,Gentoo,female
5150,Gentoo,male
4650,Gentoo,female
5550,Gentoo,male
4650,Gentoo,female
5850,Gentoo,male
4200,Gentoo,female
5850,Gentoo,male
4150,Gentoo,female
6300,Gentoo,male
4800,Gentoo,female
5350,Gentoo,male
5700,Gentoo,male
5000,Gentoo,female
4400,Gentoo,female
5050,Gentoo,male
5000,Gentoo,female
5100,Gentoo,male
5650,Gentoo,male
4600,Gentoo,female
5550,Gentoo,male
5250,Gentoo,male
4700,Gentoo,female
5050,Gentoo,female
6050,Gentoo,male
5150,Gentoo,female
5400,Gentoo,male
4950,Gentoo,female
5250,Gentoo,male
4350,Gentoo,female
5350,Gentoo,male
3950,Gentoo,female
5700,Gentoo,male
4300,Gentoo,female
4750,Gentoo,male
5550,Gentoo,male
4900,Gentoo,female
4200,Gentoo,female
5400,Gentoo,male
5100,Gentoo,female
5300,Gentoo,male
